ProvinceName,Abbr,Index
Amnat Charoen,ACR,1
Ang Thong,ATG,2
Phra Nakhon Si Ayutthaya,AYA,3
Bangkok,BKK,4
Bueng Kan,BKN,5
Buriram,BRM,6
Chonburi,CBI,7
Chachoengsao,CCO,8
Chiang Mai,CMI,9
Chai Nat,CNT,10
Chaiyaphum,CPM,11
Chumphon,CPN,12
Chiang Rai,CRI,13
Chanthaburi,CTI,14
Krabi,KBI,15
Khon Kaen,KKN,16
Kamphaeng Phet,KPT,17
Kanchanaburi,KRI,18
Kalasin,KSN,19
Loei Province,LEI,20
Lampang,LPG,21
Lamphun,LPN,22
Lopburi Province,LRI,23
Mukdahan,MDH,24
Maha Sarakham,MKM,25
Mae Hong Son,MSN,26
Nan,NAN,27
Nonthaburi,NBI,28
Nong Bua Lam Phu,NBP,29
Nong Khai,NKI,30
Nakhon Ratchasima,NMA,31
Nakhon Phanom,NPM,32
Nakhon Pathom,NPT,33
Nakhon Si Thammarat,NRT,34
Nakhon Sawan,NSN,35
Narathiwat,NWT,36
Nakhon Nayok,NYK,37
Phetchaburi,PBI,38
Phichit,PCT,39
Prachuap Khiri Khan,PKN,40
Phuket,PKT,41
Phatthalung,PLG,42
Phitsanulok,PLK,43
Phang Nga,PNA,44
Phetchabun,PNB,45
Phrae,PRE,46
Prachinburi,PRI,47
Pathum Thani,PTE,48
Pattani,PTN,49
Phayao,PYO,50
Ratchaburi,RBR,51
Roi Et,RET,52
Ranong,RNG,53
Rayong,RYG,54
Sing Buri,SBR,55
Songkhla,SKA,56
Samut Songkhram,SKM,57
Samut Sakhon,SKN,58
Sa Kaeo,SKW,59
Surat Thani,SNI,60
Sakon Nakhon,SNK,61
Suphan Buri,SPB,62
Samut Prakan,SPK,63
Saraburi,SRI,64
Surin,SRN,65
Sisaket,SSK,66
Sukhothai,STI,67
Satun,STN,68
Tak,TAK,69
Trang,TRG,70
Trat,TRT,71
Ubon Ratchathani,UBN,72
Udon Thani,UDN,73
Uttaradit,UTD,74
Uthai Thani,UTI,75
Yala,YLA,76
Yasothon,YST,77
