lat,lon,epoch,uid,province,province_abbr,province_abbr_index
13.91149043,100.54837704,1454215943,207948928,Nonthaburi,NBI,28
13.80277919,100.55379278,1454215942,1972532480,Bangkok,BKK,4
18.2921293,99.5005101,1454215942,2717268210,Lampang,LPG,21
13.75519283,100.64901926,1454215940,123440126,Bangkok,BKK,4
18.13328792,100.15037149,1454215939,3076087680,Phrae,PRE,46
16.23989966,103.25904045,1454215939,2580599904,Maha Sarakham,MKM,25
13.74472101,100.53314209,1454215937,472812844,Bangkok,BKK,4
17.33333,102.83333,1454215936,60620076,Udon Thani,UDN,73
13.91679884,100.59526432,1454215936,1735395510,Bangkok,BKK,4
